"quad";"species";"individual";"microh";"ind";"x";"y";"diam";"height";"leaves";"demo";"pheno";"dryw";"ancho";"Sup_mm2";"Error";"lma";"sla";"radius";"xt";"yt";"id";"area";"gdist_min";"biomass"
1;"Leontodon montanus";7;"open";"na";12.8;86.7;2.5;1;4;"j";"v";3845;18.7;43.7812581234;3.1079116772;87.8229672880264;0.0113865430750065;1.25;12.8;86.7;1.7;4.88857703250721;66.459956924315;15380
1;"Leontodon montanus";8;"open";"na";78.5;75.7;3.6;1.4;4;"a";"v";7493;25.7;88.9388896708;2.5711292013;84.2488592755624;0.0118695969132257;1.8;78.5;75.7;1.8;10.1369533346069;10.4714919080214;29972
1;"Linaria alpina";1;"moss";"4";24.3;4.8;1.4;1.6;60;"a";"v";288;5.3;4.5860173204;26.116838488;62.7995883746205;0.0159236712513889;0.7;24.3;4.8;1.1;1.53305775739426;44.9025679845883;17280
1;"Linaria alpina";2;"open";"na";77.4;4.3;1.3;1.8;35;"a";"v";228;3.7;2.5949768728;12.9834254144;87.8620547218929;0.0113814775122807;0.65;77.4;4.3;1.2;1.32187122958995;0;7980
1;"Linaria alpina";3;"open";"na";76.8;8.6;4.1;1.5;140;"a";"v";406;5.4;5.1827853012;12.1715076072;78.3362567432605;0.0127654810374384;2.05;76.8;8.6;1.3;13.1483167866314;0;56840
1;"Linaria alpina";4;"moss";"8";1.2;19.6;0.8;0.7;15;"a";"v";161;2.7;2.4408593306;22.8455284553;65.9603763238678;0.0151606169602484;0.4;1.2;19.6;1.4;0.500590288128738;64.072133775453;2415
1;"Linaria alpina";5;"moss";"9";47.1;15;0.7;1.1;20;"a";"v";187;2.9;1.2591386632;28.2051282051;148.51422282972;0.00673336183529412;0.35;47.1;15;1.5;0.383264439348566;20.0302147443948;3740
1;"Linaria alpina";6;"open";"na";74.6;18.4;0.6;1.8;15;"a";"v";182;2.4;1.6917528784;15.2542372881;107.580724303025;0.00929534548571429;0.3;74.6;18.4;1.6;0.281582037072414;0;2730
1;"Linaria alpina";7;"open";"na";20.4;44.5;5.2;2.3;160;"a";"r";738;5.3;7.9426363952;8.3935018051;92.916251390533;0.0107623799392954;2.6;20.4;44.5;1.7;21.1499396734392;44.8275750574302;118080
1;"Linaria alpina";8;"open";"na";26.5;86.5;3.8;1.6;110;"a";"r";810;9.7;9.8946046078;14.3072857682;81.8627961506891;0.0122155612441975;1.9;26.5;86.5;1.8;11.2945683759047;54.7204103596131;89100
